TOW (kg),0,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000
46,3037,3080,3124,3168,3212,3257,3302,3348,3394,3440,3487,3534,3582,3630,3679,3728
50,3461,3510,3559,3609,3660,3711,3762,3814,3867,3920,3973,4027,4081,4136,4192,4247
54,3920,3958,4014,4070,4127,4184,4242,4301,4360,4420,4480,4541,4602,4664,4726,4789
58,4361,4423,4485,4548,4612,4674,4741,4807,4873,4939,5007,5075,5143,5212,5282,5352
62,4837,4905,4974,5044,5115,5186,5258,5331,5404,5478,5552,5628,5704,5781,5858,5936
66,5328,5404,5480,5557,5635,5713,5793,5873,5953,6035,6117,6200,6284,6368,6453,6539
70,5836,5918,6002,6086,6171,6257,6344,6432,6520,6609,6699,6790,6882,6974,7068,7162
75,6358,6448,6539,6631,6724,6817,6913,7007,7104,7201,7299,7398,7498,7599,7700,7803
79,6895,6993,7092,7191,7292,7393,7496,7599,7704,7809,7916,8023,8131,8241,8351,8462
83,7446,7552,7659,7766,7875,7985,8095,8207,8320,8434,8549,8665,8782,8900,9019,9139
87,8012,8126,8240,8356,8473,8591,8710,8830,8952,9074,9198,9322,9448,9575,9704,9833
91,8591,8713,8836,8960,9085,9212,9339,9468,9599,9730,9862,9996,10131,10267,10405,10544
